# source, target, time, date
14,24,1493,2015
14,29,1496,2015
14,22,1506,2015
14,22,1509,2015
14,22,1510,2015
14,22,1511,2015
14,22,1513,2015
14,22,1514,2015
14,30,1515,2015
14,30,1516,2015
14,30,1517,2015
14,30,1518,2015
14,30,1520,2015
14,12,1544,2015
14,29,1549,2015
14,22,1643,2016
14,22,1645,2016
14,33,1793,2016
14,33,1794,2016
14,33,1795,2016
14,33,1796,2016
14,33,1797,2016
14,33,1798,2016
14,33,1799,2016
14,33,1800,2016
14,33,1801,2016
14,33,1802,2016
14,33,1803,2016
14,33,1804,2016
14,33,1805,2016
14,33,1806,2016
14,33,1807,2016
14,33,1808,2016
14,33,1809,2016
14,33,1810,2016
14,33,1811,2016
14,33,1812,2016
15,17,105,2010
15,5,141,2010
15,17,278,2010
15,17,280,2010
15,17,416,2011
15,4,418,2011
15,13,425,2011
15,18,439,2011
15,17,466,2011
15,17,478,2011
15,17,479,2011
15,17,480,2011
15,4,504,2011
15,17,513,2011
15,20,620,2012
15,20,622,2012
15,20,624,2012
15,18,638,2012
15,18,646,2012
15,11,991,2013
15,11,1019,2013
15,11,1020,2013
15,22,1041,2013
15,22,1042,2013
15,22,1098,2013
16,13,57,2010
16,13,67,2010
16,6,68,2010
16,13,98,2010
16,13,99,2010
16,13,113,2010
16,2,221,2010
16,2,223,2010
16,2,224,2010
16,17,328,2011
16,17,329,2011
16,17,330,2011
16,17,355,2011
16,17,356,2011
16,13,449,2011
16,5,460,2011
16,5,475,2011
16,15,483,2011
16,11,485,2011
16,11,487,2011
16,4,493,2011
16,9,578,2012
16,21,582,2012
16,15,1021,2013
16,22,1022,2013
16,22,1023,2013
16,22,1024,2013
16,22,1025,2013
17,4,219,2010
17,4,220,2010
17,4,240,2010
17,2,314,2011
17,2,327,2011
17,4,422,2011
17,13,424,2011
17,18,426,2011
17,18,431,2011
17,18,433,2011
17,15,527,2012
17,2,770,2012
17,2,787,2012
17,2,788,2012
18,4,127,2010
18,4,129,2010
18,13,136,2010
18,13,137,2010
18,13,139,2010
18,5,367,2011
18,2,413,2011
18,4,435,2011
18,4,436,2011
18,4,440,2011
18,4,441,2011
18,13,442,2011
18,13,443,2011
18,13,444,2011
18,5,445,2011
18,5,446,2011
18,13,448,2011
18,13,450,2011
18,13,451,2011
18,13,452,2011
18,4,456,2011
18,4,457,2011
18,5,458,2011
18,17,468,2011
18,2,793,2012
19,10,331,2011
19,10,332,2011
19,18,373,2011
19,18,376,2011
19,5,459,2011
19,18,461,2011
19,5,498,2011
19,5,500,2011
19,12,506,2011
19,12,509,2011
19,12,511,2011
19,17,514,2011
19,9,516,2011
19,9,517,2011
19,7,518,2011
19,7,519,2011
19,7,532,2012
19,7,533,2012
19,7,534,2012
19,7,535,2012
19,5,550,2012
19,12,551,2012
19,12,558,2012
19,12,559,2012
19,16,586,2012
19,9,605,2012
19,9,606,2012
19,10,614,2012
19,7,634,2012
19,9,667,2012
19,10,686,2012
19,6,722,2012
19,7,747,2012
19,7,751,2012
19,7,753,2012
19,7,754,2012
19,2,807,2012
19,11,813,2012
19,14,815,2012
19,14,830,2012
19,10,834,2012
19,6,838,2012
19,6,839,2012
19,6,840,2012
19,6,841,2012
19,14,844,2012
19,6,845,2012
19,6,846,2012
19,6,847,2012
19,6,848,2012
19,6,849,2012
19,6,850,2012
19,6,851,2012
19,6,852,2012
19,6,853,2012
19,6,857,2012
19,1,861,2013
19,1,880,2013
19,10,882,2013
19,11,917,2013
19,1,940,2013
19,1,942,2013
19,1,945,2013
19,14,947,2013
19,1,954,2013
19,14,955,2013
19,14,956,2013
19,12,974,2013
19,12,975,2013
19,14,984,2013
19,12,1028,2013
19,1,1030,2013
19,1,1032,2013
19,1,1034,2013
19,15,1035,2013
19,15,1036,2013
19,15,1037,2013
19,15,1038,2013
19,15,1039,2013
19,15,1040,2013
19,15,1043,2013
19,15,1044,2013
19,18,1056,2013
19,18,1057,2013
19,18,1058,2013
19,18,1059,2013
19,18,1060,2013
19,1,1088,2013
19,15,1091,2013
19,15,1092,2013
19,15,1094,2013
19,1,1102,2013
19,13,1105,2013
19,18,1107,2013
19,20,1135,2014
19,6,1174,2014
19,6,1175,2014
19,1,1177,2014
19,14,1183,2014
19,24,1196,2014
19,24,1197,2014
19,24,1198,2014
19,2,1231,2014
19,2,1232,2014
19,2,1234,2014
19,2,1239,2014
19,22,1248,2015
19,22,1249,2015
19,22,1251,2015
19,22,1253,2015
19,10,1259,2015
19,10,1260,2015
19,10,1261,2015
19,2,1262,2015
19,26,1267,2015
19,2,1269,2015
20,18,1002,2013
20,18,1003,2013
20,2,1111,2014
20,2,1112,2014
20,2,1113,2014
20,2,1114,2014
20,2,1115,2014
20,2,1116,2014
20,2,1117,2014
20,2,1118,2014
20,2,1119,2014
20,2,1120,2014
20,2,1121,2014
20,2,1122,2014
20,2,1123,2014
20,2,1127,2014
20,2,1134,2014
20,2,1136,2014
20,2,1140,2014
20,2,1141,2014
20,2,1142,2014
20,2,1143,2014
20,2,1144,2014
20,22,1153,2014
20,22,1154,2014
20,22,1155,2014
20,22,1156,2014
20,22,1157,2014
20,22,1158,2014
20,22,1159,2014
20,22,1160,2014
20,22,1161,2014
20,2,1164,2014
20,24,1439,2015
20,27,1448,2015
20,0,1449,2015
20,26,1450,2015
20,27,1451,2015
20,27,1465,2015
20,27,1466,2015
20,27,1467,2015
20,24,1468,2015
20,22,1540,2015
20,22,1541,2015
21,9,579,2012
21,9,603,2012
21,9,607,2012
21,7,609,2012
21,9,612,2012
21,10,642,2012
21,10,647,2012
21,19,704,2012
21,19,706,2012
